question,option_a,option_b,option_c,option_d,answer,explanation,source
"下列何者屬於「保密違規」行為？","將公文帶回家處理","在營區內使用未經核准的隨身碟","討論機密任務內容給無關人員聽","以上皆是","D","公文攜出、私接儲存設備、洩漏機密內容皆屬嚴重保密違規。","國軍保密工作實務"
"若因公受傷（如操課骨折），可申請何種權益？","國賠","公傷假與醫療補助","退伍令","獎金","B","因執行公務受傷，可開立證明申請公傷假，並由國軍醫院提供醫療照護。","國軍人員請假規則"
"軍中常說的「拉正」是什麼意思？","立正姿勢的一種","被長官叫去訓話或糾正儀態","拉單槓","拉筋","B","軍中術語，「被拉正」通常指被長官叫到面前嚴厲訓話或糾正錯誤。","[軍中小熱知識] 術語"
"T91 步槍在「清槍」檢查藥室有無子彈時，眼睛應注視何處？","彈匣座","藥室（槍膛）","準星","鄰兵","B","清槍目的是確認槍內無彈，故需將槍機固定在後，眼睛確實檢查藥室與槍膛內部。","輕兵器射擊訓練手冊"
"下列哪一種情況符合「免役」標準？","不想當兵","身高體重BMI值過高或過低達免役標準","家裡很有錢","學歷太高","B","免役需經體格檢查，確認身心狀況或BMI指數符合免役體位標準，非個人意願決定。","體位區分標準"
"軍人用槍時機中的「正當防衛」，是指？","對方罵你就開槍","為排除現在不法之侵害","長官叫你開就開","心情不好","B","用槍需符合法律規範，正當防衛係指為排除目前正在發生之不法侵害（如遭攻擊）。","衛哨勤務教範"
"關於軍中「大通鋪」寢室的生活禮儀，下列何者正確？","半夜大聲講電話","保持安靜，尊重他人休息時間","隨意拿別人的東西","不洗澡直接睡","B","團體生活首重互相尊重，寢室內應保持安靜與整潔。","新兵生活管理實務"
"若在操課中被蜜蜂或毒蛇咬傷，應如何處理？","用嘴吸出毒液","立即回報並送醫","塗抹口水","置之不理","B","野外遭蟲蛇咬傷應立即通報送醫，切勿使用偏方（如用嘴吸）以免傷勢惡化。","國軍緊急救護訓練手冊"
"新兵結訓後，分發到外島（金門、馬祖）的機率主要取決於？","抽籤","自願","戶籍地","以上皆有","D","外島分發主要靠抽籤，但部分人員可透過「戶籍地分發」或「自願外島」優先前往。","役男分發作業規定"
"依據《陸海空軍刑法》，「衛兵哨兵廢弛職務罪」通常是指下列何種行為？","站哨時睡覺或擅離崗位","站哨時喝水","站哨時蚊子叮沒打","站哨時流汗","A","衛哨兵於執行勤務時睡眠、飲酒或擅離職守，足生軍事上之不利益者，構成廢弛職務罪。","陸海空軍刑法"
"在核生化攻擊狀況下，聽到毒氣警報聲響，應立即大喊什麼口令？","毒氣！毒氣！","快跑！","救命！","掩護！","A","聽到警報或發覺毒氣時，應立即閉氣並大聲複誦「毒氣！毒氣！」，隨即戴上防毒面具。","核生化防護教範"
"關於 T91 步槍的「槍機」功能，下列敘述何者正確？","負責推彈入膛、閉鎖、擊發、退殼","只能用來瞄準","是裝飾品","負責裝水","A","槍機是步槍的心臟，負責將子彈推入藥室、閉鎖槍膛、擊發底火以及抓取彈殼退出。","兵工裝備諸元手冊"
"新兵入伍期間，若發生「皮帶（S腰帶）」過長或過短，應該如何調整？","用剪刀剪斷","調整腰帶內側的調節扣環（S-Keeper）","打結","用膠帶黏","B","S腰帶設有金屬調節扣，可依個人腰圍調整長度，嚴禁破壞性剪裁。","個人裝備使用規範"
"部隊行進間，當指揮官下達「跑步─走」口令時，第一步應先出哪隻腳？","右腳","左腳","雙腳跳","隨便","B","所有行進口令（齊步、跑步），起步時原則上皆先出「左腳」。","國軍基本教練"
"下列何者是「中士」的階級識別標誌？","一粗一細折槓","二粗折槓","三粗折槓","一槓","A","中士階級為一粗折槓搭配下方一條細弧線（俗稱一粗一細）。","陸海空軍服制條例"
"軍中「晚點名」的主要內容除了清查人數外，通常還包含什麼？","吃宵夜","唱軍歌與呼口號","看電影","洗澡","B","晚點名程序通常包含唱軍歌、呼口號（奉行三民主義...）以及宣達明日操課重點。","國軍內部管理實務"
"若在野外操課發現疑似「爆裂物」或未爆彈，下列處置何者最危險？","撿起來看","標示位置並遠離","通報幹部","警告他人勿近","A","絕對禁止觸碰或撿拾不明爆裂物，因為極可能因震動而引爆。","未爆彈處理安全規定"
"新訓中心對於「指甲」的檢查標準為何？","可以留長指甲","必須剪短，且不得藏汙納垢","可以塗指甲油","只檢查腳指甲","B","為求衛生與整潔，手腳指甲皆須定期修剪至切齊指肉，且不得留黑邊。","國軍儀容規定"
"關於軍用「水壺套」底部的小洞，其主要功能為何？","破損","排水孔","透氣","裝飾","B","底部金屬環孔為排水孔，讓水壺套進水時能迅速排出，避免積水增加重量或發霉。","個人裝備介紹"
"在實彈射擊場上，若聽到「停止射擊」口令，射手應立即做什麼？","繼續把子彈打完","手指離開板機，槍口指向目標區，停止射擊","站起來","把槍丟掉","B","聽到停止射擊，應立即鬆開板機，但槍口仍須保持指向前方安全區，等待後續口令。","輕兵器射擊訓練手冊"
"國軍規定的「中暑危險係數」計算公式，主要是依據哪兩個數值？","溫度與濕度","風速與雨量","身高與體重","時間與地點","A","中暑危險係數 = 室外溫度(℃) + 相對濕度(%) × 0.1，用以評估熱傷害風險。","國軍中暑防治作業手冊"
"下列哪種行為符合軍中「禮節」規範？","見到長官裝忙","進出辦公室喊「報告」","吃飯時把腳翹起來","對長官直呼名諱","B","進出長官辦公室或中山室，須先在門口立正喊「報告」，獲准後方可進入。","國軍內部管理實務"
"若因任務需要必須「夜宿野外」，搭建帳篷時應避開何種地形？","平坦地","河床或低窪地","乾燥地","避風處","B","河床或低窪地在夜間若遇暴雨極易暴漲或積水，造成溺水或裝備流失風險。","野外求生教範"
"T91 步槍保養時，塗抹「CLP 保養油」的主要目的不包含下列何者？","潤滑","防鏽","清潔","助燃","D","CLP 保養油具備清潔 (Clean)、潤滑 (Lubricate)、防鏽 (Preserve) 三大功能，非助燃劑。","輕兵器保養手冊"
"軍人「服從」的對象，下列何者優先順序最高？","直屬長官與合法命令","學長","鄰兵","福利社老闆","A","軍人以服從命令為天職，應服從直屬長官依法下達之命令。","陸海空軍軍官士官服役條例"
"關於「莒光日」寫作（心得寫作），若內容涉及批評時政，會有什麼後果？","直接判刑","視內容而定，通常會被幹部約談了解","會被獎勵","沒人會看","B","大兵手記雖鼓勵抒發，但若內容偏激或涉及敏感議題，輔導長通常會介入關切與輔導。","政戰實務工作"
"新兵在營區內若遺失「身分證」，應向哪個單位掛失與補辦？","向連長補辦","向營區福利社補辦","向戶政事務所掛失補辦","不用補辦","C","身分證遺失應立即向戶政機關（可線上或臨櫃）掛失並補發，部隊無法補發身分證。","戶籍法"
"下列何者是「上士」的階級識別標誌？","一粗二細折槓","二粗一細折槓","三粗折槓","一槓","A","上士階級為一粗折槓搭配下方兩條細弧線（俗稱一粗二細）。","陸海空軍服制條例"
"軍用背包（黃埔大背包/隨兵袋）在裝填時，通常建議將「重物」放在哪裡？","最底部","靠近背部（內側中上方）","最外側","隨便放","B","重物應靠近背部且位置偏高，可讓重心貼近身體，減少行軍時的負擔與拉扯感。","野外求生與裝備打包技巧"
"當兵期間若收到法院傳票（如需出庭作證），應如何處理？","裝作沒收到","向部隊請公假出庭","請事假","叫長官幫我去","B","憑法院傳票或通知書，可向部隊申請公假前往出庭。","國軍人員請假規則"
"關於「手榴彈」的安全插銷，投擲前必須做什麼動作？","拔除","用膠帶黏住","塗油","轉三圈","A","投擲前須先拔除安全插銷，手榴彈的擊發機構才會進入待發狀態（握片彈開即引爆）。","手榴彈投擲訓練手冊"
"下列何者屬於「軍品」，嚴禁私自帶離營區？","公發內衣","迷彩服與S腰帶","自己買的牙刷","衛生紙","B","迷彩服、S腰帶、鋼盔等皆屬公家財產（經理裝備），退伍須繳回，私帶出營屬侵占公物。","陸海空軍刑法"
"若在操課時發生「抽筋」，當下的處置方式為何？","用力拉扯","反向伸展肌肉並按摩","冰敷","繼續跑","B","抽筋時應立即停止運動，對痙攣肌肉進行反向伸展（如小腿抽筋則將腳板向後壓）。","國軍體能訓練手冊"
"軍中「公差」的意思是什麼？","出國出差","執行臨時性勤務或雜務","被懲罰","放假","B","公差指被指派執行額外勤務（如搬東西、打掃、文書處理），有時可獲得福利（如提早洗澡）。","[軍中小熱知識] 術語"
"T91 步槍射擊時，若產生「卡彈」，最常見的簡易排除法口訣是？","拍、拉、看、瞄、射","沖、脫、泡、蓋、送","叫、叫、A、B、C","推、拖、拉","A","簡易故障排除程序：拍（彈匣底板）、拉（拉柄）、看（藥室）、瞄（準目標）、射（擊）。","輕兵器射擊訓練手冊"
"關於軍用「雨衣」的保養，使用後最重要的一步是？","直接折好收起來","曝曬在烈日下","陰乾","用吹風機吹","C","雨衣使用後必須在陰涼通風處徹底「陰乾」，避免發霉或防水膠條老化剝落。","經理裝備保養規定"
"部隊集合時，若班長喊「中央伍為準」，中央伍的人員應如何動作？","舉手喊「我」","蹲下","向後轉","趴下","A","被指定為基準伍（中央伍）的人員，應舉左手並大聲答「我」，作為隊伍標齊的基準。","國軍基本教練"
"依據國軍規定，役男入伍後，能否在營區內進行「網路直播」？","可以，只要不拍到機密","絕對禁止","長官同意就可以","午休時間可以","B","營區內嚴禁使用直播功能（Facebook Live, IG等），違者將依資安規定嚴懲。","國軍資通安全獎懲規定"
"新兵在操作「單兵戰鬥教練」時，除了動作外，還必須大聲喊出什麼？","歌詞","口令與報告詞","數字","名字","B","單戰教練要求動作與口令一致，需大聲背誦各狀況之處置報告詞。","單兵戰鬥教練手冊"
"下列何者為「上校」的階級識別標誌（肩章）？","一顆梅花","兩顆梅花","三顆梅花","一顆星星","C","上校階級為三顆梅花，中校為兩顆，少校為一顆。","陸海空軍服制條例"
"關於 T91 步槍的「有效射程」，一般公認約為多少公尺？","100公尺","400-600公尺","1000公尺","2000公尺","B","T91 步槍之有效射程約為 400 至 600 公尺（視瞄具與槍管長度而定）。","兵工裝備諸元手冊"
"在軍中「中山室」坐下時，若班長未下達「坐下」口令，應保持何種姿勢？","自己找位子坐","立正站好","蹲下","趴在桌上","B","軍令如山，未聞「坐下」口令前，應於座位前保持立正姿勢。","國軍基本教練"
"下列何者是「少將」的階級識別標誌？","三顆梅花","一顆星","二顆星","三顆星","B","將官階級識別：少將為一顆星，中將為二顆星，上將為三顆星。","陸海空軍服制條例"
"新兵在操作「防毒面具」清洗時，哪一個部件「絕對不能」碰到水？","面具本體","頭帶","濾毒罐","飲水管","C","濾毒罐內含活性碳與化學藥劑，遇水會失效報銷。","核生化防護教範"
"若在營區內發現「無人機」在上空盤旋，應如何處置？","拿石頭丟","拍照上傳","立即通報幹部與戰情中心","不予理會","C","發現不明無人機應立即回報，依標準作業程序（SOP）進行干擾或處置。","國軍無人機防禦作業規定"
"軍用鋼盔外部通常會套上一層「迷彩盔布」，其主要功能除了偽裝外，還有什麼？","好看","減少鋼盔反光與碰撞聲響","防彈","防水","B","盔布可消除鋼盔金屬反光，並設有插孔可插草偽裝，亦能減少碰撞時的金屬聲響。","個人裝備介紹"
"關於「識別證」遺失的後果，下列何者正確？","沒關係再買一個","會受行政處分（如禁足、罰勤）並需重新辦理","可以借別人的來用","不用辦了","B","識別證屬重要證件，遺失視同保管不當，通常會處以罰勤或禁足，並需寫報告補辦。","營區門禁管制規定"
"在單兵戰鬥教練中，聽到「砲擊」口令時，應立即採取何種動作？","臥倒（趴下）並掩住耳目口鼻","站著不動","快跑","跳躍","A","遭砲擊時應立即臥倒，雙手掩耳、張口、閉眼，腹部離地，減少衝擊波傷害。","單兵戰鬥教練手冊"
"新兵入伍後，是否有權利拒絕「尿液篩檢」？","有權拒絕","看心情","無正當理由不得拒絕","可以請律師來才驗","C","依規定，國軍人員應接受毒品尿液篩檢，無正當理由拒絕者可依相關規定懲處。","國軍反毒教育宣導"
"下列何者是「士官」與「軍官」敬禮時的正確互動？","軍官先向士官敬禮","士官先向軍官敬禮","不用敬禮","互相擁抱","B","依軍中倫理與階級制度，階級較低者（士官）應主動向階級較高者（軍官）敬禮。","國軍內部管理實務"
"若在操課時不慎將「T91 步槍」槍口插進泥土裡，應如何處理？","直接擊發把泥土噴出來","立即停止使用並通報幹部清潔槍管","用水沖","用力甩","B","槍口阻塞時射擊會導致膛炸，極度危險，必須立即停止射擊並清除異物。","輕兵器射擊訓練手冊"
"軍用「S腰帶」上的孔洞（銅孔），主要用途是？","通風","配合裝備掛勾（如彈袋、水壺）之固定","美觀","減輕重量","B","S腰帶上的孔洞是為了讓美式掛勾（Slide Keeper）穿過固定，防止裝備滑動。","個人裝備使用規範"
"關於「榮譽假」（提早假）的核發標準，通常依據為何？","運氣","內務整理、公差表現與體能成績","家世背景","長相","B","表現優異者（如內務評比優良、擔任辛苦公差、打靶滿分），主官得裁量核予榮譽假。","國軍人員休假規定"
"在野外行軍時，若水壺的水喝完了，能否直接飲用溪水？","可以，越清澈越好","不行，未經煮沸或過濾嚴禁飲用","看運氣","加鹽巴就可以喝","B","野外水源可能含有寄生蟲或細菌，未經煮沸或消毒片處理，嚴禁直接飲用。","野外求生教範"
"下列何者為 T91 步槍的「準星」調整方式？","用手轉","使用彈尖或專用工具調整","用鐵鎚敲","無法調整","B","T91 準星需使用工具或子彈尖端插入準星調整孔進行旋轉調整（高低）。","輕兵器射擊訓練手冊"
"軍中「公差」勤務結束後，通常需要向誰回報？","不用回報","福利社阿姨","指派公差的幹部（班長/排長）","鄰兵","C","任務完成後必須向指派之下達命令者「回報」任務結束，始能歸建。","國軍內部管理實務"
"若在營區內發生「火災」，通報時應明確說出哪些資訊？","火災地點、燃燒物質、有無人員受困","只要尖叫就好","說失火了然後掛電話","說快點來救火","A","通報火災需冷靜說明：地點、火勢狀況、燃燒物種類及有無人員受困，以利派遣對應車輛。","消防安全教育手冊"
"下列關於「刺刀鞘」的功能，除了收納刺刀外，還能配合刺刀本體做什麼？","當鐵鎚","剪斷鐵絲網","當鏟子","當鏡子","B","現役刺刀與刀鞘結合後，利用槓桿原理可剪斷鐵絲網。","兵工裝備諸元手冊"
"新訓期間，若遇到「放假」，通常必須在什麼時間前回報安全？","不用回報","依單位規定時間（如每日兩次）","退伍後再回報","睡前想打就打","B","休假期間需依互助組回報規定，定時向幹部回報所在位置與狀況。","國軍人員休假互助回報規定"
"在軍中聽到「起立」口令時，雙手應置於何處？","抱胸","貼緊褲縫（立正姿勢）","插口袋","摸頭","B","起立後應立即成立正姿勢，雙手五指併攏貼緊褲縫，抬頭挺胸。","國軍基本教練"
"關於「莒光園地」的課後心得寫作，是否有字數規定？","沒有規定","通常有最低字數要求","寫一個字就好","不用寫","B","各大隊/連隊通常會規定大兵手記的心得字數下限（如100字），以確保有認真收視。","政戰實務工作"
"若因「痼疾」（舊傷）無法操作特定體能課目（如伏地挺身），應如何處理？","硬撐到受傷","向幹部出示證明並申請開立「免技測」或調整訓練強度","直接裝死","逃兵","B","持醫生證明向醫務所申請「全休、半休」或免除特定體能測驗，切勿隱忍。","國軍體能訓練規定"
"T91 步槍的槍托可以做什麼調整？","伸縮調整長度","折疊","拆下來當枕頭","旋轉","A","T91 設有伸縮槍托，可依射手體型與穿著裝備調整長度（通常有3-4段）。","兵工裝備諸元手冊"
"軍人穿著制服騎乘機車時，關於雨衣的穿著規定為何？","只能穿公發雨衣","應穿著切齊制服顏色之雨衣（通常為深色/黑色），不可穿輕便黃雨衣","不能穿雨衣","隨便穿","B","穿著軍服騎車應穿著端莊之雨衣（如黑色/深藍色），避免穿著透明或亮黃色輕便雨衣破壞形象。","國軍軍風紀維護實施規定"
"在操作「大部分解」時，結合銷（插銷）拆下後應放在哪裡？","隨便丟","拿在手上","指定的位置或盒子內，避免滾落遺失","口袋裡","C","細小零件（如結合銷）極易遺失，務必依序整齊放置於乾淨軟墊或盒內。","輕兵器保養手冊"
"下列何者是「一等士官長」的階級識別標誌？","一粗一細","二粗一細","粗折槓搭配三條細弧線","一顆星","C","一等士官長為士官最高階，識別為粗折槓搭配下方三條細弧線。","陸海空軍服制條例"
"若在衛哨勤務中「擅離職守」（跑去買飲料），可能會觸犯什麼法律？","民法","道路交通管理處罰條例","陸海空軍刑法","社會秩序維護法","C","衛兵擅離職守屬違反《陸海空軍刑法》之重罪，可處徒刑。","陸海空軍刑法"
"軍中「早點名」時，聽到自己的名字，應大聲回答什麼？","有","到","嘿","在","A","早點名點呼名字時，應大聲答「有」。","國軍內部管理實務"
"下列何者是防中暑最簡單也最重要的手段？","多喝水","多睡覺","多吃冰","不曬太陽","A","少量多次、定時定量的「喝水」是預防熱傷害最核心的手段。","國軍中暑防治作業手冊"
"在軍中聽到「稍息」口令後，若班長接著喊「立正」，第一動作應為何？","左腳靠向右腳","右腳靠向左腳","雙腳跳","不用動","A","立正時，左腳跟靠向右腳跟，兩腳尖向外張開約45度（或依各軍種規定）。","國軍基本教練"
"軍中俗稱的「么八假」是指何時離營休假？","休假當日早上08:00","休假前一日晚上18:00","休假當日晚上18:00","休假前一日早上08:00","B","「么八」即 18:00，指在休假前一天的晚餐後（18:00）即可離營，是榮譽假的象徵。","[軍中小熱知識] 術語"
"T91 步槍在進行「大部分解」時，槍機拉柄應在何時取下？","取下槍機總成之後","取下彈匣之前","取下槍機總成之前","隨便","A","分解順序：卸彈匣→分解結合銷→取下槍機總成→取下槍機拉柄。","輕兵器保養手冊"
"下列何者為「二等士官長」的階級識別標誌？","一粗折槓","二粗折槓","粗折槓搭配二條細弧線","一顆星","C","二等士官長為粗折槓搭配下方兩條細弧線。","陸海空軍服制條例"
"若在「毒氣室」內感到呼吸困難或眼淚直流，能否自行拔除防毒面具？","可以，受不了就拔","絕對禁止，需待教官指示","可以拔下來透氣再戴回去","立刻衝出去","B","在毒氣室內拔除面具會導致吸入高濃度 CS 膠囊氣體，極度痛苦且危險，須服從教官口令。","核生化防護教範"
"新兵在營區內使用公共電話或手機通話時，若遇到長官經過，應如何處理？","繼續講","立刻掛斷並立正問好","轉過身去裝沒看到","揮手致意","B","見長官經過應立即停止通話，立正向長官問好，待長官離開或示意後再繼續。","國軍內部管理實務"
"關於 T91 步槍的「拋殼窗蓋」，在槍機後退（拉拉柄或射擊）時會如何？","自動關閉","自動彈開","需手動打開","會掉下來","B","T91 設計上，當槍機向後運動時，防塵蓋（拋殼窗蓋）會受推動而自動彈開。","兵工裝備諸元手冊"
"在單兵戰鬥教練中，關於「敵火下作業」的破壞剪鐵絲網動作，剪斷瞬間應注意什麼？","大聲歡呼","閉眼並將臉部背向鐵絲網","站起來剪","用手撥開","B","鐵絲網剪斷瞬間會彈開，應閉眼、低頭並背向斷裂處，以免遭彈射之鐵絲割傷臉部或眼睛。","單兵戰鬥教練手冊"
"軍中「洞八假」是指何時離營休假？","休假當日早上08:00","休假前一日晚上18:00","休假當日晚上20:00","休假前一日早上08:00","A","「洞八」即 08:00，指休假當天早上集合完畢後才離營，為一般正常的放假時間。","[軍中小熱知識] 術語"
"下列何種物品嚴禁放入「內務櫃」中？","食物與飲料","盥洗用具","衛生紙","衣服","A","為防蟲鼠與維持整潔，內務櫃內嚴禁存放食物或含糖飲料。","新兵生活管理實務"
"若在操課中發生「槍枝走火」意外，首要處置為何？","把槍丟掉","保持槍口指向安全方向，立即通報並檢查人員有無受傷","大聲尖叫","把子彈撿起來","B","發生走火切勿驚慌亂動槍口，應固定槍口指向安全處，並立即確認有無人員傷亡。","輕兵器射擊訓練手冊"
"關於「識別證」的顏色與樣式，通常是用來區分什麼？","心情","階級、單位或職務權限","年齡","薪水高低","B","不同顏色或版型的識別證代表不同單位、通行權限或職務（如通行證、臨時證等）。","營區門禁管制規定"
"軍人行進間若要「變換方向」（如向左轉），口令動令（走）通常落在腳的哪一側？","與轉彎方向同側之腳（如向左轉落在左腳）","與轉彎方向反側之腳","雙腳同時","隨便","A","行進間轉法：口令動令落在同側腳（向左轉，動令落在左腳），再跨一步後轉向。","國軍基本教練"
"在野外求生中，若缺乏水源，下列何種植物可作為緊急水源？","有乳白色汁液的植物","有毒植物","黃藤或芭蕉莖部","枯木","C","部分植物如黃藤、芭蕉莖部含水量高且無毒，可作為緊急水源；乳白色汁液通常有毒。","野外求生教範"
"下列何者是「中將」的階級識別標誌？","一顆星","二顆星","三顆星","四顆星","B","中將階級識別為兩顆星（左右肩各二）。","陸海空軍服制條例"
"T91 步槍射擊後，若彈匣內子彈打光，槍機通常會固定在什麼位置？","前方（閉鎖）","後方（槍機掛在後）","中間","掉出來","B","T91 具備「無彈後定」功能，子彈打光後托彈板會頂起槍機卡榫，使槍機固定在後方。","兵工裝備諸元手冊"
"關於「軍用卡車（中戰/大卡）」乘坐規定，上下車時應如何？","直接跳下來","依序從後方登車梯上下，嚴禁跳車","爬輪胎","從駕駛座爬","B","上下軍車必須使用登車梯或腳踏板，「嚴禁跳車」以防骨折或扭傷。","車輛行車安全規定"
"新兵入伍期間，若遇到「家屬急事」需要聯絡，家屬應優先撥打什麼電話？","連長手機或連隊安官桌電話","110","役男手機（若被收繳則沒用）","國防部總機","A","家屬應留存連隊安官桌（安全士官）電話或連級幹部電話，以便緊急聯繫。","新兵入伍準備須知"
"在實施 CPR 時，若患者恢復呼吸心跳，應將患者採何種姿勢？","趴著","復甦姿勢（側躺）","坐起來","站起來","B","恢復呼吸心跳後，應採「復甦姿勢（側臥）」以保持呼吸道暢通，防止嘔吐物阻塞。","國軍緊急救護訓練手冊"
"下列何者屬於「軍法」加重刑責的時機？","平時","戰時","放假時","睡覺時","B","依《陸海空軍刑法》，「戰時」犯罪通常會加重其刑，甚至處以死刑。","陸海空軍刑法"
"軍中「安全士官（安官）」的主要職責為何？","看電視","清查人數、槍械管制、維護營區安全與接聽電話","睡覺","煮飯","B","安全士官是連隊的安全樞紐，負責全連人員掌控、軍械安全與緊急狀況回報。","國軍內部管理實務"
"若在操課時聽到「注意」口令，全體人員應立即做什麼動作？","立正並注視發令者","蹲下","趴下","向後轉","A","「注意」為預令或提醒口令，聞令者應立即停止動作，立正並注視發令長官。","國軍基本教練"
"關於「綁腿（迷彩褲管）」的使用，主要目的是？","好看","防止蚊蟲與異物進入褲管，並防止褲管勾到障礙物","保暖","止血","B","綁腿（或膠圈）將褲管束緊，可避免毒蟲鑽入、防止褲管鬆散勾絆，並維持儀容整潔。","國軍服裝穿著規定"
"T91 步槍的「防火帽」設計，主要功能為何？","裝飾","減低槍口火光與部分後座力","增加重量","當刺刀座","B","防火帽可分散排出氣體，抑制槍口火光（避免夜間暴露位置）並兼具制退（減低後座力）功能。","兵工裝備諸元手冊"
"下列何者是「上將」的階級識別標誌？","一顆星","二顆星","三顆星","五顆星","C","上將階級識別為三顆星（一級上將已廢除或不再晉升，目前最高為三星上將）。","陸海空軍服制條例"
"在軍中「洗餐盤」時，通常會有幾道程序？","一道（水沖）","三道（熱水去油、泡沫清洗、清水沖洗）","不用洗","帶回家洗","B","軍中洗碗通常設有三桶水：熱水（去油）、肥皂水（清洗）、清水（沖淨）。","新兵生活管理實務"
"若在營區內看到「長官車」（懸掛將軍旗或指揮官旗）經過，應如何致意？","不用理會","停下腳步，原地立正致敬","追著車跑","拿手機拍","B","見懸掛主官旗幟或將星旗之車輛，視同見到長官本人，應原地立正致敬。","國軍內部管理實務"
"單兵戰鬥教練中，關於「土工器具（圓鍬/十字鎬）」的攜帶位置？","拿在手上","掛在S腰帶後方或背包上","咬在嘴裡","藏在口袋","B","土工器具通常有專用攜行套，掛載於 S 腰帶後方（屁股處）或背包側面。","個人裝備使用規範"
"新兵入伍後的「第一次放假」，通常會要求什麼？","家屬接送","必須穿軍服","不能帶行李","必須理光頭","A","部分新訓單位為確保安全，第一次休假（懇親假）會要求家屬親自到營區接送。","新兵入伍訓練實施計畫"
"關於「刺刀」的使用，嚴禁將其插在什麼地方？","刀鞘內","土裡","S腰帶上","背包裡","B","嚴禁將刺刀插入土中，土壤濕氣與酸鹼值會嚴重腐蝕刀身，且會磨損刀鋒。","個人裝備保養規定"
"下列何者是「一兵（一等兵）」的階級識別標誌？","一粗折槓","二粗折槓","三粗折槓","一槓","B","一兵階級為二粗折槓（俗稱二勾），二兵為一粗折槓，上兵為三粗折槓。","陸海空軍服制條例"
"在軍中聽到「向後─轉」口令時，應以哪隻腳的腳跟為軸心旋轉？","左腳","右腳","雙腳","隨便","B","向後轉動作：以右腳跟為軸心，左腳尖為輔助，向後旋轉180度。","國軍基本教練"
"T91 步槍的「準星」主要負責調整射擊的哪一個偏差？","高低（上下）","方向（左右）","威力","後座力","A","T91 準星負責調整彈著點的高低（上下）偏差；覘孔則負責調整方向（左右）。","輕兵器射擊訓練手冊"
"關於軍用「鋼盔」的扣環（下巴帶），佩戴時應保持什麼狀態？","鬆鬆的比較舒服","緊扣下巴，不得鬆脫","不扣","掛在後腦勺","B","佩戴鋼盔時，下巴帶必須確實扣緊並服貼下巴，以免劇烈運動時鋼盔脫落。","個人裝備使用規範"
"若在衛哨執勤時感到身體嚴重不適（如劇烈腹痛），應如何處理？","擅自離開去看醫生","忍耐到底","立即通報安官或長官請求接替","躺在地上睡覺","C","衛哨嚴禁擅離職守，遇突發狀況應通報上級請求接替，待接替人員到場後方可離開。","衛哨勤務教範"
"下列何種行為被視為「破壞軍紀」的嚴重違規？","內務沒折好","逾假未歸（逃亡）","吃飯掉筷子","唱歌走音","B","逾假未歸視同逃亡，是極為嚴重的法紀問題，會立即發布離營通報並移送法辦。","陸海空軍刑法"
"新兵在「單兵戰鬥教練」中，實施「左/右翻滾」動作時，槍枝應置於何處？","抱在胸前","放在地上","置於翻滾方向之反側，緊貼身體","拋向空中","C","槍枝應緊貼身體外側（翻滾方向之反側），利用身體保護槍枝避免碰撞受損。","單兵戰鬥教練手冊"
"關於「中暑」的典型症狀，下列敘述何者正確？","體溫正常","皮膚乾熱發紅、無汗、意識不清","大量流汗","手腳冰冷","B","重度中暑（熱射病）的特徵是體溫極高（>40度）且皮膚乾熱「無汗」，具生命危險。","國軍中暑防治作業手冊"
"軍中「莒光簿（大兵手記）」通常都在每週的哪一天撰寫？","週一","週四","週五","週日","B","配合每週四下午的莒光園地電視教學，通常會於當日或隨後撰寫心得。","政戰實務工作"
"T91 步槍的「覘孔（後照門）」主要負責調整射擊的哪一個偏差？","高低","方向（左右）","射程","威力","B","覘孔設有風偏調整螺，主要用於修正彈著點的左右方向偏差。","輕兵器射擊訓練手冊"
"在室內向長官「敬禮」時，通常採用何種禮節？","舉手禮","鞠躬禮","注目禮","握手","B","依據軍人禮節，室內（未戴帽時）通常行鞠躬禮；室外（戴帽）則行舉手禮。","國軍內部管理實務"
"下列何者是「中尉」的階級識別標誌？","一條粗槓","二條粗槓","三條粗槓","一顆梅花","B","中尉階級為二條粗槓（二槓），少尉為一槓，上尉為三槓。","陸海空軍服制條例"
"若在操課中發現「防毒面具」破損或氣密不良，應如何處置？","用膠帶黏","立即報告並申請更換","跟鄰兵交換","裝作沒事","B","核生化裝備攸關性命，發現損壞應立即依程序報賠與申請更換。","核生化防護教範"
"關於「內務標齊」，掛在衣櫃內的軍服，其袖口通常要朝向哪個方向？","朝左","朝右","統一朝向（通常朝外或朝內）","隨便放","C","內務要求整齊劃一，衣架掛勾與袖口方向全連必須統一（通常依單位規定）。","內務教則"
"在實彈射擊時，若發生「不發彈（扣板機沒反應）」，槍口應維持指向目標區幾秒後再處理？","立刻拉拉柄","1秒","至少10-15秒（遲發火預防）","不用等","C","為防止「遲發火」（火藥延遲燃燒），應保持槍口指向目標區約 15 秒後再行故障排除。","輕兵器射擊訓練手冊"
"軍中「休假」期間，能否未經核准私自「出國」？","可以，護照在自己身上","不行，軍人出國受嚴格管制","看去哪裡","不用管規定","B","軍人身分受出國管制，未經申請核准私自出國屬違法行為（甚至可能被攔下）。","國軍人員出國作業規定"
"下列何者為「上兵（上等兵）」的階級識別標誌？","一粗折槓","二粗折槓","三粗折槓","一槓","C","上兵階級為三粗折槓（俗稱三勾）。","陸海空軍服制條例"
